title,price
"Inchiriez apartament 2 camere, etaj 10 Mihai viteazu",1 890 lei
Apartament 2 camere de vanzare,363 044 lei
Inchiriez apartament două camere nedecomandat,1 000 lei
Apartament 2 camere ultracentral,2 984 lei
"Apartament Intabulat cu 2 camere,  54 mp  zona Brana Comision 0%",402 830 lei
"Apartament 2 camere, Aparatorii Patriei, Metrou Dimitrie Leonida",433 663 lei
"Apartament modern 3 camere – zona liniștită, reprezentanța BMW",820 579 lei
Apartament 2 camere !,1 392 lei
Apartament 2 camere,293 419 leiPrețul e negociabil
apartament 2 camere,1 400 lei
Inchiriere apartament,1 150 lei
Vand apartament 2 camere Nicolina,445 599 lei
Vand apartament 2 camere Racadau,547 052 leiPrețul e negociabil
Apartament 2 camere Drumul Poienii,1 741 lei
Apartament 2 camere Valea Lupului Parcare,1 591 lei
Apartament 2 camere Prundu,1 392 lei
Apartament la intrare in Dumbravita,397 856 lei
Vanzare apartament cu 2 camere in Sannicoara,556 999 lei
